cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude_y,longitude_y
02B,02B000411,2B224,PIETRACORBARA,,,,02B00111434,2023-07-17,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,PIETRACORBARA,MAIRIE DE PIETRACORBARA,MAIRIE DE PIETRACORBARA,C,C,C,C,7,2023,42.8456516,9.4292804
02B,02B000412,2B224,PIETRACORBARA,02B000408,RESERVOIR OLIVELLA,100 %,02B00110204,2023-03-06,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,PIETRACORBARA,MAIRIE DE PIETRACORBARA,MAIRIE DE PIETRACORBARA,C,C,C,C,3,2023,42.8456516,9.4292804
02B,02B000412,2B224,PIETRACORBARA,,,,02B00110206,2023-01-23,09h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,PIETRACORBARA,MAIRIE DE PIETRACORBARA,MAIRIE DE PIETRACORBARA,C,C,C,C,1,2023,42.8456516,9.4292804
02B,02B000412,2B224,PIETRACORBARA,,,,02B00111433,2023-07-17,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,PIETRACORBARA,MAIRIE DE PIETRACORBARA,MAIRIE DE PIETRACORBARA,C,C,C,C,7,2023,42.8456516,9.4292804
02B,02B000413,2B224,PIETRACORBARA,02B000409,RESERVOIR LAPEDINA SUTTANA,100 %,02B00110202,2023-03-06,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,PIETRACORBARA,MAIRIE DE PIETRACORBARA,MAIRIE DE PIETRACORBARA,C,C,C,C,3,2023,42.8456516,9.4292804
02B,02B000413,2B224,PIETRACORBARA,,,,02B00110208,2023-01-23,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,PIETRACORBARA,MAIRIE DE PIETRACORBARA,MAIRIE DE PIETRACORBARA,C,C,C,C,1,2023,42.8456516,9.4292804
02B,02B000413,2B224,PIETRACORBARA,,,,02B00111435,2023-07-17,07h50,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,PIETRACORBARA,MAIRIE DE PIETRACORBARA,MAIRIE DE PIETRACORBARA,C,C,N,C,7,2023,42.8456516,9.4292804
02B,02B000427,2B030,BARRETTALI,02B000423,RESERVOIR PIETRICAGGIO,100 %,02B00109832,2023-04-17,08h10,Eau d'alimentation conforme aux limites de qualité. Eau agressive.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,C,N,4,2023,42.8765973,9.3551309
02B,02B000427,2B030,BARRETTALI,,,,02B00109835,2023-02-08,07h00,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,N,C,2,2023,42.8765973,9.3551309
02B,02B000427,2B030,BARRETTALI,,,,02B00111108,2023-06-28,09h40,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,N,C,6,2023,42.8765973,9.3551309
02B,02B000428,2B030,BARRETTALI,02B000424,RESERVOIR LIOLMI,100 %,02B00109830,2023-04-17,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,C,C,4,2023,42.8765973,9.3551309
02B,02B000428,2B030,BARRETTALI,,,,02B00109834,2023-02-08,06h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,C,C,2,2023,42.8765973,9.3551309
02B,02B000428,2B030,BARRETTALI,,,,02B00111107,2023-06-28,09h20,Eau d'alimentation conforme aux limites de qualité.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,C,N,6,2023,42.8765973,9.3551309
02B,02B000429,2B030,BARRETTALI,02B000425,RESERVOIR TORRA,100 %,02B00109829,2023-04-17,08h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,C,C,4,2023,42.8765973,9.3551309
02B,02B000429,2B030,BARRETTALI,,,,02B00109833,2023-02-08,07h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,C,C,2,2023,42.8765973,9.3551309
02B,02B000429,2B030,BARRETTALI,,,,02B00111106,2023-06-28,08h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,C,C,6,2023,42.8765973,9.3551309
02B,02B000430,2B030,BARRETTALI,02B000426,RESERVOIR MINERVIO,100 %,02B00109831,2023-04-17,09h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,C,C,4,2023,42.8765973,9.3551309
02B,02B000430,2B030,BARRETTALI,,,,02B00109836,2023-02-08,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,C,C,2,2023,42.8765973,9.3551309
02B,02B000430,2B030,BARRETTALI,,,,02B00111109,2023-06-28,10h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BARRETTALI,MAIRIE DE BARRETTALI,MAIRIE DE BARRETTALI,C,C,C,C,6,2023,42.8765973,9.3551309
02B,02B000438,2B164,MONACIA-D'OREZZA,02B000437,RESERVOIR TEGHIA,100 %,02B00110086,2023-04-03,06h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,MONACIA D'OREZZA,MAIRIE DE MONACIA D'OREZZA,MAIRIE DE MONACIA D'OREZZA,C,C,C,C,4,2023,42.3819,9.39729
02B,02B000438,2B164,MONACIA-D'OREZZA,,,,02B00110087,2023-02-09,05h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,MONACIA D'OREZZA,MAIRIE DE MONACIA D'OREZZA,MAIRIE DE MONACIA D'OREZZA,C,C,C,C,2,2023,42.3819,9.39729
02B,02B000438,2B164,MONACIA-D'OREZZA,02B000437,RESERVOIR TEGHIA,100 %,02B00111370,2023-07-06,06h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,MONACIA D'OREZZA,MAIRIE DE MONACIA D'OREZZA,MAIRIE DE MONACIA D'OREZZA,C,C,C,C,7,2023,42.3819,9.39729
02B,02B000447,2B055,CAMPITELLO,02B000444,RESERVOIR BAGNOLU,100 %,02B00110537,2023-03-23,08h00,Eau d'alimentation conforme aux limites de qualité . Eau faiblement minéralisée.,COM.COM MARANA GOLO,COM.COM.MARANA GOLO,COM.COM.MARANA GOLO,C,C,C,N,3,2023,42.5278923,9.3163314
02B,02B000447,2B055,CAMPITELLO,,,,02B00110542,2023-01-31,08h00,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,COM.COM MARANA GOLO,COM.COM.MARANA GOLO,COM.COM.MARANA GOLO,C,C,C,N,1,2023,42.5278923,9.3163314
02B,02B000447,2B055,CAMPITELLO,,,,02B00111699,2023-06-06,08h30,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,COM.COM MARANA GOLO,COM.COM.MARANA GOLO,COM.COM.MARANA GOLO,C,C,C,N,6,2023,42.5278923,9.3163314
02B,02B000448,2B055,CAMPITELLO,02B000445,RESERVOIR PANICALE,100 %,02B00110538,2023-03-23,07h50,Eau d'alimentation conforme aux limites de qualité. Eau incrustante.,COM.COM MARANA GOLO,COM.COM.MARANA GOLO,COM.COM.MARANA GOLO,C,C,C,N,3,2023,42.5278923,9.3163314
02B,02B000448,2B055,CAMPITELLO,02B000445,RESERVOIR PANICALE,100 %,02B00111697,2023-08-22,08h00,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale.,COM.COM MARANA GOLO,COM.COM.MARANA GOLO,COM.COM.MARANA GOLO,N,C,C,N,8,2023,42.5278923,9.3163314
02B,02B000448,2B055,CAMPITELLO,,,,02B00111701,2023-06-06,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COM.COM MARANA GOLO,COM.COM.MARANA GOLO,COM.COM.MARANA GOLO,C,C,C,C,6,2023,42.5278923,9.3163314
02B,02B000449,2B055,CAMPITELLO,,,,02B00110543,2023-01-31,07h50,Eau d'alimentation conforme aux limites de qualitéé. Eau faiblement minéralisée.,COM.COM MARANA GOLO,COM.COM.MARANA GOLO,COM.COM.MARANA GOLO,C,C,C,N,1,2023,42.5278923,9.3163314
02B,02B000449,2B055,CAMPITELLO,02B000446,RESERVOIR PROGLIOLU,100 %,02B00111698,2023-08-22,08h15,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,COM.COM MARANA GOLO,COM.COM.MARANA GOLO,COM.COM.MARANA GOLO,C,C,C,N,8,2023,42.5278923,9.3163314
02B,02B000449,2B055,CAMPITELLO,,,,02B00111700,2023-06-06,08h20,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,COM.COM MARANA GOLO,COM.COM.MARANA GOLO,COM.COM.MARANA GOLO,C,C,C,N,6,2023,42.5278923,9.3163314
02B,02B000460,2B102,CROCICCHIA,,,,02B00109995,2023-03-08,08h10,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,CROCICCHIA,MAIRIE DE CROCICCHIA,MAIRIE DE CROCICCHIA,C,C,C,N,3,2023,42.46829,9.3521411
02B,02B000460,2B102,CROCICCHIA,,,,02B00111226,2023-07-20,08h20,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CROCICCHIA,MAIRIE DE CROCICCHIA,MAIRIE DE CROCICCHIA,N,C,N,N,7,2023,42.46829,9.3521411
02B,02B000467,2B111,FELCE,02B000465,STATION UV POGGIALE,100 %,02B00110015,2023-01-16,06h50,Eau d'alimentation conforme aux limites de qualitéé. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices.,FELCE,MAIRIE DE FELCE,MAIRIE DE FELCE,C,C,N,N,1,2023,42.3499886,9.4173512
02B,02B000467,2B111,FELCE,,,,02B00110016,2023-02-27,07h25,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,FELCE,MAIRIE DE FELCE,MAIRIE DE FELCE,C,C,C,N,2,2023,42.3499886,9.4173512
02B,02B000467,2B111,FELCE,,,,02B00111239,2023-05-22,06h30,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,FELCE,MAIRIE DE FELCE,MAIRIE DE FELCE,C,C,C,N,5,2023,42.3499886,9.4173512
02B,02B000478,2B281,SISCO,,,,02B00109306,2023-01-23,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,C,C,1,2023,42.8109997,9.4885168
02B,02B000478,2B281,SISCO,02B000474,RESERVOIR TEGHIE,100 %,02B00110372,2023-04-11,07h50,Eau d'alimentation conforme aux limites de qualité. Eau agressive. Eau faiblement minéralisée.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,C,N,4,2023,42.8109997,9.4885168
02B,02B000478,2B281,SISCO,,,,02B00110373,2023-04-11,08h10,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,C,N,4,2023,42.8109997,9.4885168
02B,02B000478,2B281,SISCO,,,,02B00110374,2023-02-23,08h30,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,C,N,2,2023,42.8109997,9.4885168
02B,02B000478,2B281,SISCO,,,,02B00110375,2023-03-02,07h30,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,N,N,3,2023,42.8109997,9.4885168
02B,02B000478,2B281,SISCO,,,,02B00111520,2023-07-10,08h15,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,C,N,7,2023,42.8109997,9.4885168
02B,02B000479,2B281,SISCO,,,,02B00110378,2023-03-02,08h30,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,N,C,3,2023,42.8109997,9.4885168
02B,02B000479,2B281,SISCO,,,,02B00111524,2023-07-10,08h00,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,C,N,7,2023,42.8109997,9.4885168
02B,02B000480,2B281,SISCO,,,,02B00110376,2023-03-02,07h45,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,N,C,3,2023,42.8109997,9.4885168
02B,02B000480,2B281,SISCO,,,,02B00111522,2023-07-10,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,C,C,7,2023,42.8109997,9.4885168
02B,02B000481,2B281,SISCO,02B000477,RESERVOIR BARIJANI,100 %,02B00110371,2023-04-11,07h30,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,C,N,4,2023,42.8109997,9.4885168
02B,02B000481,2B281,SISCO,,,,02B00110377,2023-03-02,08h10,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,N,C,N,C,3,2023,42.8109997,9.4885168
02B,02B000481,2B281,SISCO,,,,02B00111523,2023-07-10,07h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SISCO,MAIRIE DE SISCO,MAIRIE DE SISCO,C,C,C,C,7,2023,42.8109997,9.4885168
02B,02B000487,2B202,PARATA,,,,02B00110160,2023-04-03,06h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,PARATA,MAIRIE DE PARATA,MAIRIE DE PARATA,C,C,C,C,4,2023,42.3701443,9.4091248
02B,02B000487,2B202,PARATA,,,,02B00111317,2023-07-06,06h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,PARATA,MAIRIE DE PARATA,MAIRIE DE PARATA,C,C,C,C,7,2023,42.3701443,9.4091248
02B,02B000493,2B179,NOVALE,,,,02B00110124,2023-02-02,06h20,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,NOVALE,MAIRIE DE NOVALE,MAIRIE DE NOVALE,N,C,N,C,2,2023,42.3096,9.41489
02B,02B000493,2B179,NOVALE,02B000491,RESERVOIR NOVALE,100 %,02B00110125,2023-07-03,06h15,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,NOVALE,MAIRIE DE NOVALE,MAIRIE DE NOVALE,N,C,N,C,7,2023,42.3096,9.41489
02B,02B000493,2B179,NOVALE,,,,02B00111278,2023-08-24,10h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,NOVALE,MAIRIE DE NOVALE,MAIRIE DE NOVALE,C,C,C,C,8,2023,42.3096,9.41489
02B,02B000494,2B179,NOVALE,02B000492,RESERVOIR COZZI,100 %,02B00111279,2023-08-24,10h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.,NOVALE,MAIRIE DE NOVALE,MAIRIE DE NOVALE,C,C,C,N,8,2023,42.3096,9.41489
02B,02B000494,2B179,NOVALE,,,,02B00111280,2023-07-03,06h20,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries coliformes. La teneur en chlore libre est insuffisante.,NOVALE,MAIRIE DE NOVALE,MAIRIE DE NOVALE,C,C,N,C,7,2023,42.3096,9.41489
02B,02B000509,2B255,QUERCITELLO,,,,02B00109289,2023-01-05,06h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,QUERCITELLO,MAIRIE DE QUERCITELLO,MAIRIE DE QUERCITELLO,C,C,C,C,1,2023,42.4257535,9.3499207
02B,02B000509,2B255,QUERCITELLO,02B000507,RESERVOIR QUERCITELLO,100 %,02B00110331,2023-03-20,06h35,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,QUERCITELLO,MAIRIE DE QUERCITELLO,MAIRIE DE QUERCITELLO,C,C,C,N,3,2023,42.4257535,9.3499207
02B,02B000509,2B255,QUERCITELLO,,,,02B00110332,2023-02-13,06h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,QUERCITELLO,MAIRIE DE QUERCITELLO,MAIRIE DE QUERCITELLO,C,C,C,C,2,2023,42.4257535,9.3499207
02B,02B000509,2B255,QUERCITELLO,,,,02B00111483,2023-06-19,06h30,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,QUERCITELLO,MAIRIE DE QUERCITELLO,MAIRIE DE QUERCITELLO,C,C,C,N,6,2023,42.4257535,9.3499207
02B,02B000510,2B255,QUERCITELLO,,,,02B00109290,2023-01-05,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,QUERCITELLO,MAIRIE DE QUERCITELLO,MAIRIE DE QUERCITELLO,C,C,C,C,1,2023,42.4257535,9.3499207
02B,02B000510,2B255,QUERCITELLO,02B000508,RESERVOIR PRATO,100 %,02B00111482,2023-06-19,06h40,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,QUERCITELLO,MAIRIE DE QUERCITELLO,MAIRIE DE QUERCITELLO,C,C,C,N,6,2023,42.4257535,9.3499207
02B,02B000530,2B033,BASTIA,,,,02B00109526,2023-01-05,09h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,1,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110702,2023-01-05,07h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,1,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110703,2023-01-09,10h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,1,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110704,2023-01-16,09h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,1,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110705,2023-01-24,07h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,1,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110706,2023-02-08,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,2,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110707,2023-02-15,07h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,2,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110708,2023-02-23,09h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,2,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110709,2023-02-28,07h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,2,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110710,2023-03-08,06h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,3,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110711,2023-03-23,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,3,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110712,2023-03-29,07h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,3,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110713,2023-04-04,08h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,4,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110714,2023-04-11,08h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,4,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110715,2023-04-24,07h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,4,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110716,2023-01-19,09h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,1,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110717,2023-01-30,09h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,1,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110718,2023-02-13,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,2,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110719,2023-03-27,07h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,3,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110720,2023-04-26,07h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,4,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110721,2023-06-13,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,6,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110722,2023-03-22,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,3,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110723,2023-04-18,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,4,2023,42.6993979,9.4509187
02B,02B000530,2B033,BASTIA,,,,02B00110724,2023-03-13,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,3,2023,42.6993979,9.4509187
