cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year
02B,02B000530,2B033,BASTIA,,,,02B00105795,2021-12-01,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,12,2021
02B,02B000530,2B033,BASTIA,,,,02B00105796,2021-12-06,07h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,12,2021
02B,02B000530,2B033,BASTIA,,,,02B00105797,2021-12-13,09h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,12,2021
02B,02B000530,2B033,BASTIA,,,,02B00105798,2021-10-05,09h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,10,2021
02B,02B000530,2B033,BASTIA,,,,02B00105799,2021-10-14,10h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,10,2021
02B,02B000530,2B033,BASTIA,,,,02B00105800,2021-10-21,08h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,10,2021
02B,02B000530,2B033,BASTIA,,,,02B00105801,2021-11-25,09h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,11,2021
02B,02B000530,2B033,BASTIA,,,,02B00105802,2021-12-27,10h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,12,2021
02B,02B000530,2B033,BASTIA,,,,02B00105804,2021-12-20,09h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,12,2021
02B,02B000530,2B033,BASTIA,,,,02B00105807,2021-11-24,07h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,11,2021
02B,02B000530,2B033,BASTIA,,,,02B00105810,2021-10-18,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,10,2021
02B,02B000530,2B033,BASTIA,,,,02B00105811,2021-11-15,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,11,2021
02B,02B000530,2B033,BASTIA,,,,02B00105813,2021-10-05,09h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,10,2021
02B,02B000530,2B033,BASTIA,,,,02B00105816,2021-11-15,09h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,11,2021
02B,02B000530,2B033,BASTIA,,,,02B00105818,2021-10-05,10h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,10,2021
02B,02B000530,2B033,BASTIA,,,,02B00105820,2021-11-15,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,11,2021
02B,02B000530,2B120,FURIANI,,,,02B00105822,2021-11-30,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,11,2021
02B,02B000530,2B120,FURIANI,,,,02B00105823,2021-11-30,08h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,11,2021
02B,02B000530,2B120,FURIANI,,,,02B00105824,2021-11-30,09h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,11,2021
02B,02B000530,2B120,FURIANI,,,,02B00105825,2021-09-20,09h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,9,2021
02B,02B000530,2B353,VILLE-DI-PIETRABUGNO,,,,02B00105827,2021-10-18,10h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,10,2021
02B,02B000530,2B353,VILLE-DI-PIETRABUGNO,,,,02B00105828,2021-12-06,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,12,2021
02B,02B000530,2B033,BASTIA,,,,02B00105830,2021-10-18,09h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,10,2021
02B,02B000530,2B033,BASTIA,,,,02B00105831,2021-11-15,09h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,11,2021
02B,02B000530,2B033,BASTIA,,,,02B00105833,2021-12-06,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,12,2021
02B,02B000530,2B037,BIGUGLIA,02B000529,CHLOROMETRES SUARICCIO,50 %,02B00105842,2021-12-06,09h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,C,12,2021
02B,02B000530,2B037,BIGUGLIA,02B000528,USINE DU LANCONE,50 %,02B00105845,2021-10-07,10h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,10,2021
02B,02B000530,2B037,BIGUGLIA,02B000528,USINE DU LANCONE,50 %,02B00105846,2021-11-30,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Carbone Organique Total hors norme.,COMMUNAUTE AGGLOMERATION DE BASTIA,ACQUA PUBLICA,COMMUNAUTE AGGLOMERATION DE BASTIA,C,C,C,N,11,2021
02B,02B000553,2B287,SORIO,02B000552,RESERVOIR SORIO UV,100 %,02B00103015,2021-04-28,06h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries sulfito-réductrices.,SORIO,MAIRIE DE SORIO,MAIRIE DE SORIO,C,C,N,C,4,2021
02B,02B000553,2B287,SORIO,,,,02B00103016,2021-03-10,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SORIO,MAIRIE DE SORIO,MAIRIE DE SORIO,C,C,C,C,3,2021
02B,02B000553,2B287,SORIO,02B000552,RESERVOIR SORIO UV,100 %,02B00104046,2021-06-17,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SORIO,MAIRIE DE SORIO,MAIRIE DE SORIO,C,C,C,C,6,2021
02B,02B000553,2B287,SORIO,,,,02B00104047,2021-07-21,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SORIO,MAIRIE DE SORIO,MAIRIE DE SORIO,C,C,C,C,7,2021
02B,02B000553,2B287,SORIO,,,,02B00105607,2021-09-28,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SORIO,MAIRIE DE SORIO,MAIRIE DE SORIO,C,C,C,C,9,2021
02B,02B000559,2B069,CASABIANCA,,,,02B00101497,2021-01-06,08h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,CASABIANCA,MAIRIE DE CASABIANCA,MAIRIE DE CASABIANCA,C,C,C,C,1,2021
02B,02B000559,2B069,CASABIANCA,02B000558,RESERVOIR CASABIANCA,100 %,02B00102615,2021-03-02,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,CASABIANCA,MAIRIE DE CASABIANCA,MAIRIE DE CASABIANCA,C,C,C,C,3,2021
02B,02B000559,2B069,CASABIANCA,,,,02B00102616,2021-04-29,07h55,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,CASABIANCA,MAIRIE DE CASABIANCA,MAIRIE DE CASABIANCA,C,C,N,C,4,2021
02B,02B000559,2B069,CASABIANCA,02B000558,RESERVOIR CASABIANCA,100 %,02B00103748,2021-09-13,07h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,CASABIANCA,MAIRIE DE CASABIANCA,MAIRIE DE CASABIANCA,C,C,C,C,9,2021
02B,02B000559,2B069,CASABIANCA,,,,02B00103749,2021-05-31,09h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,CASABIANCA,MAIRIE DE CASABIANCA,MAIRIE DE CASABIANCA,C,C,C,C,5,2021
02B,02B000559,2B069,CASABIANCA,,,,02B00105416,2021-11-29,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,CASABIANCA,MAIRIE DE CASABIANCA,MAIRIE DE CASABIANCA,C,C,C,C,11,2021
02B,02B000563,2B063,CARCHETO-BRUSTICO,02B000562,RESERVOIR CARCHETO,100 %,02B00102609,2021-04-28,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CARCHETO BRUSTICO,MAIRIE DE CARCHETO-BRUSTICO,MAIRIE DE CARCHETO-BRUSTICO,C,C,C,N,4,2021
02B,02B000563,2B063,CARCHETO-BRUSTICO,,,,02B00103743,2021-08-05,06h55,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CARCHETO BRUSTICO,MAIRIE DE CARCHETO-BRUSTICO,MAIRIE DE CARCHETO-BRUSTICO,C,C,C,N,8,2021
02B,02B000563,2B063,CARCHETO-BRUSTICO,,,,02B00105412,2021-11-18,06h25,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CARCHETO BRUSTICO,MAIRIE DE CARCHETO-BRUSTICO,MAIRIE DE CARCHETO-BRUSTICO,C,C,C,N,11,2021
02B,02B000690,2B187,OLMETA-DI-CAPOCORSO,,,,02B00101599,2021-01-11,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,C,C,C,N,1,2021
02B,02B000690,2B187,OLMETA-DI-CAPOCORSO,02B000689,RESERVOIR POGGIO,100 %,02B00102830,2021-03-15,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,C,C,C,N,3,2021
02B,02B000690,2B187,OLMETA-DI-CAPOCORSO,,,,02B00102831,2021-05-05,05h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,C,C,C,N,5,2021
02B,02B000690,2B187,OLMETA-DI-CAPOCORSO,02B000689,RESERVOIR POGGIO,100 %,02B00103948,2021-09-13,07h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,C,C,C,N,9,2021
02B,02B000690,2B187,OLMETA-DI-CAPOCORSO,,,,02B00103949,2021-07-20,07h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,C,C,C,N,7,2021
02B,02B000690,2B187,OLMETA-DI-CAPOCORSO,,,,02B00105518,2021-10-26,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est trop élévée.,OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,MAIRIE DE OLMETA DI CAPOCORSO,C,C,C,N,10,2021
02B,02B000695,2B184,OLCANI,,,,02B00101594,2021-01-11,08h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,OLCANI,MAIRIE DE OLCANI,MAIRIE DE OLCANI,C,C,C,N,1,2021
02B,02B000695,2B184,OLCANI,02B000694,RESERVOIR FERAGINE,100 %,02B00102818,2021-05-05,06h15,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OLCANI,MAIRIE DE OLCANI,MAIRIE DE OLCANI,C,C,C,N,5,2021
02B,02B000695,2B184,OLCANI,,,,02B00102819,2021-03-15,08h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OLCANI,MAIRIE DE OLCANI,MAIRIE DE OLCANI,C,C,C,N,3,2021
02B,02B000695,2B184,OLCANI,02B000694,RESERVOIR FERAGINE,100 %,02B00103940,2021-09-13,08h00,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OLCANI,MAIRIE DE OLCANI,MAIRIE DE OLCANI,N,C,N,N,9,2021
02B,02B000695,2B184,OLCANI,,,,02B00103941,2021-07-20,08h30,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OLCANI,MAIRIE DE OLCANI,MAIRIE DE OLCANI,N,C,C,N,7,2021
02B,02B000695,2B184,OLCANI,,,,02B00105513,2021-10-26,08h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OLCANI,MAIRIE DE OLCANI,MAIRIE DE OLCANI,C,C,C,N,10,2021
02B,02B000699,2B183,OGLIASTRO,,,,02B00101593,2021-01-11,08h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OGLIASTRO,MAIRIE DE OGLIASTRO,MAIRIE DE OGLIASTRO,C,C,C,N,1,2021
02B,02B000699,2B183,OGLIASTRO,02B000698,RESERVOIR OGLIASTRO SUPRANU,100 %,02B00102816,2021-03-15,09h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,OGLIASTRO,MAIRIE DE OGLIASTRO,MAIRIE DE OGLIASTRO,C,C,C,N,3,2021
02B,02B000699,2B183,OGLIASTRO,,,,02B00102817,2021-05-05,06h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OGLIASTRO,MAIRIE DE OGLIASTRO,MAIRIE DE OGLIASTRO,C,C,C,N,5,2021
02B,02B000699,2B183,OGLIASTRO,02B000698,RESERVOIR OGLIASTRO SUPRANU,100 %,02B00103938,2021-09-13,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OGLIASTRO,MAIRIE DE OGLIASTRO,MAIRIE DE OGLIASTRO,C,C,C,N,9,2021
02B,02B000699,2B183,OGLIASTRO,,,,02B00103939,2021-07-20,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OGLIASTRO,MAIRIE DE OGLIASTRO,MAIRIE DE OGLIASTRO,C,C,C,N,7,2021
02B,02B000699,2B183,OGLIASTRO,,,,02B00105512,2021-10-26,09h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,OGLIASTRO,MAIRIE DE OGLIASTRO,MAIRIE DE OGLIASTRO,C,C,C,N,10,2021
02B,02B000703,2B301,SAN-GAVINO-DI-TENDA,,,,02B00101694,2021-01-13,09h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SAN GAVINO DI TENDA,MAIRIE DE SAN GAVINO DI TENDA,MAIRIE DE SAN GAVINO DI TENDA,C,C,C,C,1,2021
02B,02B000703,2B301,SAN-GAVINO-DI-TENDA,02B000702,RESERVOIR CHIESA,100 %,02B00103042,2021-03-16,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SAN GAVINO DI TENDA,MAIRIE DE SAN GAVINO DI TENDA,MAIRIE DE SAN GAVINO DI TENDA,C,C,C,C,3,2021
02B,02B000703,2B301,SAN-GAVINO-DI-TENDA,02B000702,RESERVOIR CHIESA,100 %,02B00104141,2021-09-13,09h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SAN GAVINO DI TENDA,MAIRIE DE SAN GAVINO DI TENDA,MAIRIE DE SAN GAVINO DI TENDA,C,C,C,C,9,2021
02B,02B000715,2B029,BARBAGGIO,02B000713,RESERVOIR GORGACCIA,100 %,02B00102515,2021-02-04,07h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Carbone Organique Total hors norme.,BARBAGGIO,MAIRIE DE BARBAGGIO,MAIRIE DE BARBAGGIO,C,C,C,N,2,2021
02B,02B000715,2B029,BARBAGGIO,,,,02B00102518,2021-03-24,07h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,BARBAGGIO,MAIRIE DE BARBAGGIO,MAIRIE DE BARBAGGIO,C,C,C,C,3,2021
02B,02B000715,2B029,BARBAGGIO,02B000713,RESERVOIR GORGACCIA,100 %,02B00103658,2021-05-10,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,BARBAGGIO,MAIRIE DE BARBAGGIO,MAIRIE DE BARBAGGIO,C,C,C,C,5,2021
02B,02B000715,2B029,BARBAGGIO,,,,02B00103661,2021-09-16,07h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,BARBAGGIO,MAIRIE DE BARBAGGIO,MAIRIE DE BARBAGGIO,C,C,C,C,9,2021
02B,02B000715,2B029,BARBAGGIO,,,,02B00105363,2021-11-25,07h50,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,BARBAGGIO,MAIRIE DE BARBAGGIO,MAIRIE DE BARBAGGIO,N,C,C,C,11,2021
02B,02B000716,2B029,BARBAGGIO,02B000714,RESERVOIR PADULELLA,100 %,02B00102516,2021-02-04,07h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BARBAGGIO,MAIRIE DE BARBAGGIO,MAIRIE DE BARBAGGIO,C,C,C,C,2,2021
02B,02B000716,2B029,BARBAGGIO,,,,02B00102517,2021-03-24,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BARBAGGIO,MAIRIE DE BARBAGGIO,MAIRIE DE BARBAGGIO,C,C,C,C,3,2021
02B,02B000716,2B029,BARBAGGIO,02B000714,RESERVOIR PADULELLA,100 %,02B00103659,2021-05-10,07h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,BARBAGGIO,MAIRIE DE BARBAGGIO,MAIRIE DE BARBAGGIO,C,C,C,C,5,2021
02B,02B000716,2B029,BARBAGGIO,,,,02B00103660,2021-09-16,07h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,BARBAGGIO,MAIRIE DE BARBAGGIO,MAIRIE DE BARBAGGIO,C,C,C,C,9,2021
02B,02B000716,2B029,BARBAGGIO,,,,02B00105362,2021-11-25,07h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,BARBAGGIO,MAIRIE DE BARBAGGIO,MAIRIE DE BARBAGGIO,C,C,N,C,11,2021
02B,02B000722,2B257,RAPALE,02B000720,RESERVOIR CIMETIERE,100 %,02B00102964,2021-04-28,06h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Turbidité hors norme. Eau agressive.,RAPALE,MAIRIE DE RAPALE,MAIRIE DE RAPALE,C,C,C,N,4,2021
02B,02B000722,2B257,RAPALE,,,,02B00102965,2021-03-10,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,RAPALE,MAIRIE DE RAPALE,MAIRIE DE RAPALE,C,C,C,C,3,2021
02B,02B000722,2B257,RAPALE,02B000720,RESERVOIR CIMETIERE,100 %,02B00104003,2021-06-17,08h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Température hors norme.,RAPALE,MAIRIE DE RAPALE,MAIRIE DE RAPALE,C,C,C,N,6,2021
02B,02B000722,2B257,RAPALE,,,,02B00104004,2021-07-21,09h00,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Température hors norme. La teneur en chlore libre est insuffisante.,RAPALE,MAIRIE DE RAPALE,MAIRIE DE RAPALE,N,C,N,N,7,2021
02B,02B000722,2B257,RAPALE,,,,02B00105579,2021-09-28,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,RAPALE,MAIRIE DE RAPALE,MAIRIE DE RAPALE,C,C,C,C,9,2021
02B,02B000725,2B082,CASTINETA,02B000724,RESERVOIR CASTINETA HAUT,100 %,02B00102645,2021-03-30,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CASTINETA,MAIRIE DE CASTINETA,MAIRIE DE CASTINETA,C,C,C,N,3,2021
02B,02B000725,2B082,CASTINETA,,,,02B00102646,2021-02-18,06h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CASTINETA,MAIRIE DE CASTINETA,MAIRIE DE CASTINETA,C,C,C,N,2,2021
02B,02B000725,2B082,CASTINETA,02B000724,RESERVOIR CASTINETA HAUT,100 %,02B00103771,2021-07-06,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CASTINETA,MAIRIE DE CASTINETA,MAIRIE DE CASTINETA,C,C,C,N,7,2021
02B,02B000725,2B082,CASTINETA,,,,02B00103772,2021-09-21,08h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CASTINETA,MAIRIE DE CASTINETA,MAIRIE DE CASTINETA,C,C,C,N,9,2021
02B,02B000728,2B143,LINGUIZZETTA,02B000727,RESERVOIR MONTE,100 %,02B00102727,2021-03-30,06h05,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,LINGUIZZETTA,MAIRIE DE LINGUIZZETTA,MAIRIE DE LINGUIZZETTA,C,C,C,C,3,2021
02B,02B000728,2B143,LINGUIZZETTA,,,,02B00103850,2021-07-21,05h50,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,LINGUIZZETTA,MAIRIE DE LINGUIZZETTA,MAIRIE DE LINGUIZZETTA,N,C,C,C,7,2021
