cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,latitude,longitude,month,year
02A,02A000503,2A181,OCANA,02A002145,UNITÉ TRAITEMENT UV,100 %,02A00112707,2023-03-08,10h10,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' OCANA,MAIRIE D' OCANA,MAIRIE D' OCANA,C,C,C,N,41.9603325,8.9347337,3,2023
02A,02A000503,2A181,OCANA,,,,02A00113285,2023-06-02,10h15,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE D' OCANA,MAIRIE D' OCANA,MAIRIE D' OCANA,N,C,N,N,41.9603325,8.9347337,6,2023
02A,02A000503,2A181,OCANA,02A002145,UNITÉ TRAITEMENT UV,100 %,02A00114241,2023-08-03,08h40,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE D' OCANA,MAIRIE D' OCANA,MAIRIE D' OCANA,N,C,C,N,41.9603325,8.9347337,8,2023
02A,02A000509,2A158,MELA,,,,02A00112651,2023-02-27,09h50,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Teneur en chlore libre excessive.,COMMUNE DE MELA,MAIRIE DE MELA,MAIRIE DE MELA,C,C,C,C,41.6962188,9.0944928,2,2023
02A,02A000515,2A160,MOCA-CROCE,02A002675,TTP MOCA,100 %,02A00112690,2023-03-06,07h55,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.7777445,9.020821357142855,3,2023
02A,02A000515,2A160,MOCA-CROCE,,,,02A00113286,2023-06-02,07h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.7777445,9.020821357142855,6,2023
02A,02A000516,2A160,MOCA-CROCE,02A003002,TTP CROCE,100 %,02A00112691,2023-03-06,08h10,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,N,C,C,N,41.7777445,9.020821357142855,3,2023
02A,02A000516,2A160,MOCA-CROCE,,,,02A00113287,2023-06-02,07h55,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.7777445,9.020821357142855,6,2023
02A,02A000530,2A330,UCCIANI,02A002084,TTP UCCIANI,100 %,02A00112370,2023-01-10,09h05,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE D' UCCIANI,MAIRIE D'UCCIANI,MAIRIE D'UCCIANI,N,C,N,N,42.04488679999999,8.9784478,1,2023
02A,02A000530,2A330,UCCIANI,02A002084,TTP UCCIANI,100 %,02A00112399,2023-01-24,09h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' UCCIANI,MAIRIE D'UCCIANI,MAIRIE D'UCCIANI,C,C,C,N,42.04488679999999,8.9784478,1,2023
02A,02A000530,2A330,UCCIANI,,,,02A00112682,2023-03-07,11h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' UCCIANI,MAIRIE D'UCCIANI,MAIRIE D'UCCIANI,C,C,C,N,42.04488679999999,8.9784478,3,2023
02A,02A000530,2A330,UCCIANI,,,,02A00113650,2023-07-12,07h25,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' UCCIANI,MAIRIE D'UCCIANI,MAIRIE D'UCCIANI,C,C,C,N,42.04488679999999,8.9784478,7,2023
02A,02A000531,2A330,UCCIANI,02A000530,UCCIANI VILLAGE,100 %,02A00112682,2023-03-07,11h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' UCCIANI,MAIRIE D'UCCIANI,MAIRIE D'UCCIANI,C,C,C,N,42.04488679999999,8.9784478,3,2023
02A,02A000531,2A330,UCCIANI,,,,02A00112683,2023-03-07,11h11,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' UCCIANI,MAIRIE D'UCCIANI,MAIRIE D'UCCIANI,C,C,C,N,42.04488679999999,8.9784478,3,2023
02A,02A000531,2A330,UCCIANI,,,,02A00113130,2023-05-09,08h45,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' UCCIANI,MAIRIE D'UCCIANI,MAIRIE D'UCCIANI,C,C,C,N,42.04488679999999,8.9784478,5,2023
02A,02A000531,2A330,UCCIANI,02A000530,UCCIANI VILLAGE,100 %,02A00113650,2023-07-12,07h25,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' UCCIANI,MAIRIE D'UCCIANI,MAIRIE D'UCCIANI,C,C,C,N,42.04488679999999,8.9784478,7,2023
02A,02A000531,2A330,UCCIANI,,,,02A00113651,2023-07-12,07h35,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' UCCIANI,MAIRIE D'UCCIANI,MAIRIE D'UCCIANI,C,C,C,N,42.04488679999999,8.9784478,7,2023
02A,02A000533,2A330,UCCIANI,,,,02A00113132,2023-05-09,09h05,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' UCCIANI,MAIRIE D'UCCIANI,MAIRIE D'UCCIANI,C,C,C,N,42.04488679999999,8.9784478,5,2023
02A,02A000539,2A128,GRANACE,,,,02A00112489,2023-02-07,08h30,Eau d'alimentation non-conforme aux exigences de qualité. La présence en nombre important de germes sulfito-réducteurs impose une surveillance renforcée.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,N,N,41.64709379999999,9.0068495,2,2023
02A,02A000539,2A128,GRANACE,,,,02A00112585,2023-02-20,09h05,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.64709379999999,9.0068495,2,2023
02A,02A000539,2A128,GRANACE,02A002991,TTP FORCONCELLO,100 %,02A00113505,2023-06-28,09h15,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,N,C,C,C,41.64709379999999,9.0068495,6,2023
02A,02A000539,2A128,GRANACE,,,,02A00113812,2023-07-19,08h45,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.",C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.64709379999999,9.0068495,7,2023
02A,02A000540,2A128,GRANACE,,,,02A00112488,2023-02-07,08h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.64709379999999,9.0068495,2,2023
02A,02A000540,2A128,GRANACE,,,,02A00112983,2023-04-17,09h09,Eau d'alimentation non-conforme aux exigences de qualité. La présence en nombre important de germes bactéries coliformes et de germes sulfito-réducteurs impose une surveillance renforcée.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,N,C,41.64709379999999,9.0068495,4,2023
02A,02A000540,2A128,GRANACE,02A002629,TTP GRANACE,100 %,02A00113509,2023-06-28,09h00,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,N,C,C,N,41.64709379999999,9.0068495,6,2023
02A,02A000551,2A271,SARROLA-CARCOPINO,,,,02A00112421,2023-01-10,10h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La turbidité est à surveiller.,C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,N,41.99819295,8.831373535819166,1,2023
02A,02A000551,2A271,SARROLA-CARCOPINO,02A002085,UNITÉ STÉRILISATION SARROLA,100 %,02A00112906,2023-04-04,09h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,C,41.99819295,8.831373535819166,4,2023
02A,02A000551,2A271,SARROLA-CARCOPINO,,,,02A00113167,2023-05-12,08h55,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,C,41.99819295,8.831373535819166,5,2023
02A,02A000551,2A271,SARROLA-CARCOPINO,,,,02A00114272,2023-08-10,08h40,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est élevée, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,C,41.99819295,8.831373535819166,8,2023
02A,02A000553,2A271,SARROLA-CARCOPINO,,,,02A00112420,2023-01-10,10h45,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La turbidité est à surveiller.,C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,N,41.99819295,8.831373535819166,1,2023
02A,02A000553,2A271,SARROLA-CARCOPINO,02A000548,UNITÉ STÉRILISATION CARCOPINO,100 %,02A00112905,2023-04-04,10h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,C,41.99819295,8.831373535819166,4,2023
02A,02A000553,2A271,SARROLA-CARCOPINO,,,,02A00113165,2023-05-12,08h05,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,C,41.99819295,8.831373535819166,5,2023
02A,02A000553,2A271,SARROLA-CARCOPINO,,,,02A00114271,2023-08-10,08h55,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est élevée, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,C,41.99819295,8.831373535819166,8,2023
02A,02A000556,2A133,GUITERA-LES-BAINS,,,,02A00112500,2023-02-08,09h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,C,C,C,C,41.9264925,9.075727911649178,2,2023
02A,02A000556,2A133,GUITERA-LES-BAINS,02A003000,TTP GUITERA,100 %,02A00112988,2023-04-12,10h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,C,C,C,C,41.9264925,9.075727911649178,4,2023
02A,02A000556,2A133,GUITERA-LES-BAINS,,,,02A00113293,2023-06-05,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La présence de coliformes est à surveiller.,COMMUNE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,C,C,N,C,41.9264925,9.075727911649178,6,2023
02A,02A000556,2A133,GUITERA-LES-BAINS,02A003000,TTP GUITERA,100 %,02A00114381,2023-08-22,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,C,C,C,C,41.9264925,9.075727911649178,8,2023
02A,02A000557,2A133,GUITERA-LES-BAINS,,,,02A00112499,2023-02-08,09h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,C,C,N,N,41.9264925,9.075727911649178,2,2023
02A,02A000557,2A133,GUITERA-LES-BAINS,02A003001,TTP GUITERA LES BAINS,100 %,02A00112989,2023-04-12,10h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La présence de germes coliformes est à surveiller.,COMMUNE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,C,C,N,C,41.9264925,9.075727911649178,4,2023
02A,02A000557,2A133,GUITERA-LES-BAINS,,,,02A00113370,2023-06-05,10h30,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,MAIRIE DE GUITERA-LES-BAINS,N,C,N,C,41.9264925,9.075727911649178,6,2023
02A,02A000558,2A271,SARROLA-CARCOPINO,02A001908,TTP RESERVOIR MANDRIOLO,100 %,02A00112834,2023-03-16,08h08,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter que l'agressivité est susceptible d'engendrer des risques de corrosion des canalisations.,C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,N,41.99819295,8.831373535819166,3,2023
02A,02A000558,2A271,SARROLA-CARCOPINO,,,,02A00113166,2023-05-12,09h25,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,C,41.99819295,8.831373535819166,5,2023
02A,02A000558,2A271,SARROLA-CARCOPINO,,,,02A00114363,2023-08-10,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.A.P.A.,KYRNOLIA CEO BALEONE,C.A.P.A,C,C,C,C,41.99819295,8.831373535819166,8,2023
02A,02A000585,2A211,PETRETO-BICCHISANO,02A003048,CHLORATION PETRETO,100 %,02A00112688,2023-03-06,08h10,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter un Ph bas. La présence de germes coliformes est également à surveiller.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,N,N,41.765651,8.975904703125,3,2023
02A,02A000585,2A211,PETRETO-BICCHISANO,,,,02A00112735,2023-03-13,09h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter un pH bas. La teneur en chlore libre est excessive.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.765651,8.975904703125,3,2023
02A,02A000585,2A211,PETRETO-BICCHISANO,,,,02A00113145,2023-05-10,09h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.765651,8.975904703125,5,2023
02A,02A000586,2A211,PETRETO-BICCHISANO,,,,02A00112734,2023-03-13,09h30,Eau d'alimentation conforme aux limites de qualité en vigueur et ne satisfaisant pas aux références de qualité. Il est à noter un pH bas.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.765651,8.975904703125,3,2023
02A,02A000586,2A211,PETRETO-BICCHISANO,02A003050,CHLORATION BICCHISANO VARANGONE,100 %,02A00113144,2023-05-10,09h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.765651,8.975904703125,5,2023
02A,02A000586,2A211,PETRETO-BICCHISANO,02A003050,CHLORATION BICCHISANO VARANGONE,100 %,02A00114243,2023-08-02,09h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.765651,8.975904703125,8,2023
02A,02A000586,2A211,PETRETO-BICCHISANO,,,,02A00114388,2023-08-23,10h25,"Eau d'alimentation non conforme aux exigences de qualité en vigueur, du fait de la présence d'une teneur excessive en chlore libre.",C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.765651,8.975904703125,8,2023
02A,02A000588,2A211,PETRETO-BICCHISANO,,,,02A00112663,2023-03-06,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.765651,8.975904703125,3,2023
02A,02A000588,2A211,PETRETO-BICCHISANO,02A000586,BICCHISANO VARANGONE,50 %,02A00112734,2023-03-13,09h30,Eau d'alimentation conforme aux limites de qualité en vigueur et ne satisfaisant pas aux références de qualité. Il est à noter un pH bas.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.765651,8.975904703125,3,2023
02A,02A000588,2A211,PETRETO-BICCHISANO,02A003047,CHLORATION CALO,50 %,02A00114263,2023-08-02,09h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter que l'agressivité est susceptible d'engendrer des risques de corrosion des canalisations et qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.765651,8.975904703125,8,2023
02A,02A000588,2A211,PETRETO-BICCHISANO,02A000586,BICCHISANO VARANGONE,50 %,02A00114388,2023-08-23,10h25,"Eau d'alimentation non conforme aux exigences de qualité en vigueur, du fait de la présence d'une teneur excessive en chlore libre.",C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.765651,8.975904703125,8,2023
02A,02A000588,2A211,PETRETO-BICCHISANO,,,,02A00114389,2023-08-23,10h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.765651,8.975904703125,8,2023
02A,02A000589,2A211,PETRETO-BICCHISANO,02A003046,CHLORATION PENTA,100 %,02A00112700,2023-03-06,08h50,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter un Ph bas. La présence de germes coliformes est également à surveiller.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,N,N,41.765651,8.975904703125,3,2023
02A,02A000589,2A211,PETRETO-BICCHISANO,,,,02A00113143,2023-05-10,08h45,Eau d'alimentation conforme aux limites de qualité en vigueur et ne satisfaisant pas aux références de qualité. Il est à noter un pH bas.,C.C.S.V. REGIE,C. C. DU SARTENAIS VALINCO,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.765651,8.975904703125,5,2023
02A,02A000602,2A189,OLMETO,,,,02A00112380,2023-01-19,08h00,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes sulfito-réducteurs impose une surveillance renforcée.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,N,N,41.71696370000001,8.917827099999998,1,2023
02A,02A000602,2A189,OLMETO,,,,02A00112412,2023-01-09,08h30,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,N,C,N,C,41.71696370000001,8.917827099999998,1,2023
02A,02A000602,2A189,OLMETO,,,,02A00112583,2023-02-20,07h45,"Eau d'alimentation non conforme aux exigences de qualité en vigueur, du fait de la présence d'une teneur excessive en chlore libre.",C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.71696370000001,8.917827099999998,2,2023
02A,02A000602,2A189,OLMETO,02A002107,TTP OLMETO VILLAGE,100 %,02A00112760,2023-03-02,08h30,"Eau d'alimentation non conforme à la norme en vigueur, du fait du dépassement de la limite de qualité concernant le paramètre Trihalométhanes(4 Substances).",C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,N,C,N,41.71696370000001,8.917827099999998,3,2023
02A,02A000602,2A189,OLMETO,,,,02A00112849,2023-04-03,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.71696370000001,8.917827099999998,4,2023
02A,02A000602,2A189,OLMETO,02A002107,TTP OLMETO VILLAGE,100 %,02A00113123,2023-05-03,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,C,C,41.71696370000001,8.917827099999998,5,2023
02A,02A000602,2A189,OLMETO,,,,02A00113430,2023-06-16,07h40,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable. Il est à noter un pH bas.",C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.71696370000001,8.917827099999998,6,2023
02A,02A000602,2A189,OLMETO,,,,02A00114296,2023-08-02,08h25,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,C.C.S.V. KYRNOLIA,KYRNOLIA CEO BALEONE,C. C. DU SARTENAIS VALINCO,C,C,C,N,41.71696370000001,8.917827099999998,8,2023
02A,02A000606,2A119,FRASSETO,02A003086,TTP FRASSETO,100 %,02A00112495,2023-02-08,11h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE FRASSETO,MAIRIE DE FRASSETO,MAIRIE DE FRASSETO,C,C,N,C,41.8968673,9.0235791,2,2023
02A,02A000606,2A119,FRASSETO,,,,02A00113017,2023-04-19,09h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La présence de germes coliformes est à surveiller.,COMMUNE DE FRASSETO,MAIRIE DE FRASSETO,MAIRIE DE FRASSETO,C,C,N,C,41.8968673,9.0235791,4,2023
02A,02A000606,2A119,FRASSETO,,,,02A00113438,2023-06-07,09h30,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE FRASSETO,MAIRIE DE FRASSETO,MAIRIE DE FRASSETO,N,C,N,N,41.8968673,9.0235791,6,2023
02A,02A000606,2A119,FRASSETO,02A003086,TTP FRASSETO,100 %,02A00114379,2023-08-21,10h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE FRASSETO,MAIRIE DE FRASSETO,MAIRIE DE FRASSETO,C,C,C,C,41.8968673,9.0235791,8,2023
02A,02A000610,2A312,SANTA-MARIA-SICHE,,,,02A00112392,2023-01-19,07h00,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE SAINTE-MARIE SICCHE,KYRNOLIA CEO BALEONE,MAIRIE DE SAINTE-MARIE-SICCHE,N,C,N,C,41.8836818,8.978984548275339,1,2023
02A,02A000610,2A312,SANTA-MARIA-SICHE,02A000609,UNITE DE DESINFECTION STE MARIE,100 %,02A00112694,2023-03-06,09h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE SAINTE-MARIE SICCHE,KYRNOLIA CEO BALEONE,MAIRIE DE SAINTE-MARIE-SICCHE,C,C,C,C,41.8836818,8.978984548275339,3,2023
02A,02A000610,2A312,SANTA-MARIA-SICHE,02A000609,UNITE DE DESINFECTION STE MARIE,100 %,02A00113258,2023-05-10,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter que l'agressivité est susceptible d'engendrer des risques de corrosion des canalisations.,COMMUNE DE SAINTE-MARIE SICCHE,KYRNOLIA CEO BALEONE,MAIRIE DE SAINTE-MARIE-SICCHE,C,C,C,N,41.8836818,8.978984548275339,5,2023
02A,02A000610,2A312,SANTA-MARIA-SICHE,,,,02A00113368,2023-06-05,10h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE SAINTE-MARIE SICCHE,KYRNOLIA CEO BALEONE,MAIRIE DE SAINTE-MARIE-SICCHE,C,C,C,C,41.8836818,8.978984548275339,6,2023
02A,02A000611,2A312,SANTA-MARIA-SICHE,,,,02A00112471,2023-02-06,10h50,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",COMMUNE DE SAINTE-MARIE SICCHE,KYRNOLIA CEO BALEONE,MAIRIE DE SAINTE-MARIE-SICCHE,C,C,C,C,41.8836818,8.978984548275339,2,2023
